candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations,source_csv,source_shard
689,68,0.0,1.0,0.97,-0.1,0.1,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,159,0.940828402366864,376.38461538461536,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
697,69,0.0,1.0,0.97,0.0,0.1,0.5,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,380.97633136094674,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
374,37,-0.02,0.85,0.97,0.0,0.1,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,159,0.940828402366864,382.7396449704142,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
446,44,-0.02,1.0,0.97,-0.1,0.1,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,388.6390532544379,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
440,44,-0.02,1.0,0.97,-0.25,0.25,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,399.0769230769231,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
696,69,0.0,1.0,0.97,0.0,0.1,0.25,50000,1,169.0,10.0,10,True,0.059171597633136,159,0.940828402366864,418.4733727810651,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
530,53,0.0,0.7,0.97,-0.1,0.25,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,427.9704142011834,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
691,69,0.0,1.0,0.97,-0.1,0.25,0.5,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,428.14201183431953,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_1/grid_results.csv,1
305,30,-0.02,0.7,0.995,-0.25,0.25,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,440.5680473372781,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
197,19,-0.1,1.0,0.97,-0.25,0.25,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,158,0.9349112426035504,478.4674556213018,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
